"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"136",5231234,1584,"Oenanthe cypriaca (Homeyer, 1884)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"47",2480740,1676,"Cursorius cursor (Latham, 1787)","Animalia","Chordata","Aves","Charadriiformes","Glareolidae"
"106",2494177,1844,"Loxia scotica Hartert, 1904","Animalia","Chordata","Aves","Passeriformes","Fringillidae"
"96",2492608,2027,"Ficedula semitorquata (Homeyer, 1885)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"93",2492522,2048,"Saxicola dacotiae (Meade-Waldo, 1889)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"2",2474045,2300,"Alectoris barbara (Bonnaterre, 1790)","Animalia","Chordata","Aves","Galliformes","Phasianidae"
"102",2492965,2541,"Sylvia sarda Temminck, 1820","Animalia","Chordata","Aves","Passeriformes","Sylviidae"
"108",2494442,3490,"Fringilla teydea Webb, Berthelot & Moquin-Tandon, 1836","Animalia","Chordata","Aves","Passeriformes","Fringillidae"
"127",5228644,3626,"Apus caffer (M.H.K.Lichtenstein, 1823)","Animalia","Chordata","Aves","Apodiformes","Apodidae"
"92",2491490,4129,"Emberiza caesia Cretzschmar, 1827","Animalia","Chordata","Aves","Passeriformes","Emberizidae"
"98",2492855,4396,"Lanius nubicus Lichtenstein, 1823","Animalia","Chordata","Aves","Passeriformes","Laniidae"
"84",2484886,4519,"Sitta whiteheadi Sharpe, 1884","Animalia","Chordata","Aves","Passeriformes","Sittidae"
"88",2490674,5762,"Chersophilus duponti (Vieillot, 1824)","Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"78",2482001,7265,"Oceanodroma castro (Harcourt, 1851)","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae"
"107",2494394,7568,"Bucanetes githagineus (M.H.K.Lichtenstein, 1823)","Animalia","Chordata","Aves","Passeriformes","Fringillidae"
"41",2480578,7936,"Accipiter brevipes (Severtzov, 1850)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"66",2481606,8384,"Bulweria bulwerii (Jardine & Selby, 1828)","Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"135",5231233,9346,"Oenanthe pleschanka (Lepechin, 1770)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"8",2474628,9598,"Porzana pusilla (Pallas, 1776)","Animalia","Chordata","Aves","Gruiformes","Rallidae"
"133",5229249,11315,"Sterna dougallii Montagu, 1813","Animalia","Chordata","Aves","Charadriiformes","Laridae"
"35",2480500,11889,"Aquila heliaca Savigny, 1809","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
